LEVEL_3_CO,LEVEL_NAME,AREA_SQKM,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,GDP_SUM,GDP_CAPITA,ROAD_DENSITY,POP_COUNT,POP_DENSITY,SECURITY,RESEARCH_EXP,EDUCATION_EXP
KUR,Kuril Is.,10648.74,665,0.783274441,849,26.43,11,39,0.046,0.08,0.118656,5614.20,56.37,21134.97,1.98,2.821090909,1.086097,3.690385385
KUW,Kuwait,16870.73,247,0.904761905,273,27.07,19,0,0,0.41,120.048304,62032.69,107.52,1935242.67,114.71,1.815545455,0.148004,5.515994283
KZN,Kazan-retto,41.31,128,0.831168831,154,38.21,23.5,6,0.039,0.12,0.047138,27428.07,97.20,1718.60,41.60,1.529545455,3.249755,3.488300625
LAB,Labrador,286750.70,447,0.906693712,493,45.04,38,1,0.002,0.65,1.840154,67058.44,4.61,27441.05,0.10,1.625090909,1.757034,5.107454558
LAO,Laos,231157.59,1974,0.63168,3125,13.1,8,198,0.063,0.18,6.587738,1110.55,133.77,5931971.84,25.66,1.858545455,NA,2.317983742
LBR,Liberia,96656.25,1152,0.532101617,2165,18.59,12,60,0.028,0.25,1.241744,373.34,261.24,3326047.01,34.41,1.965,NA,1.873135
LBS,Lebanon-Syria,198640.91,1639,0.660887097,2480,18.11,8,326,0.131,0.60,110.357938,4721.00,257.42,23375984.83,117.68,2.755650245,NA,4.880760447
LBY,Libya,1623952.12,1139,0.766487214,1486,25.34,18,83,0.056,0.13,99.478524,16696.39,75.69,5958086.48,3.67,2.415545455,NA,2.264169931
LDV,Laccadive Is.,60.89,129,0.854304636,151,45.13,38,0,0,0.02,17.28639,164336.42,0.00,105189.04,1727.59,2.557545455,0.797028,3.625841551
LEE,Leeward Is. AB Ant,3434.51,1137,0.690346084,1647,23.98,18,61,0.037,0.39,25.798498,31505.89,3703.38,818846.81,238.42,NA,NA,4.85290457
LES,Lesotho,30644.61,802,0.596282528,1345,13.18,6,26,0.019,0.65,2.31569,1385.14,110.19,1671812.68,54.55,1.863363636,0.028933333,10.88137177
LIN,Line Is.,623.72,20,0.689655172,29,49.07,42,1,0.034,0.17,0.020236,1477.60,0.00,13695.15,21.96,NA,NA,11.28208394
LOU,Louisiana,119503.53,1347,0.833024119,1617,29.67,23,6,0.004,0.68,311.730688,63764.60,551.06,4888773.14,40.91,2.299636364,2.754861,4.946395
LSI,Lesser Sunda Is.,105826.26,1390,0.586003373,2372,17.63,10,292,0.123,0.26,14.003308,1057.88,375.70,13237099.51,125.08,1.849670314,NA,2.812358976
MAG,Magadan,1174676.32,660,0.770128355,857,26.01,14,56,0.065,0.53,1.70696,8596.27,15.88,198569.95,0.17,2.821090909,1.086097,3.690385385
MAI,Maine,84021.66,1072,0.888152444,1207,42.03,36,8,0.007,0.55,82.960362,61806.40,315.81,1342261.61,15.98,2.299636364,2.754861,4.946395
MAN,Manitoba,649059.48,867,0.924307036,938,43.05,36,2,0.002,0.76,53.436446,46953.86,32.17,1138063.00,1.75,1.625090909,1.757034,5.107454558
MAQ,Macquarie Is.,128.01,30,0.833333333,36,10.64,5,3,0.083,0.86,0.007738,0.00,0.00,0.00,0.00,1.495181818,2.226646,5.053002152
MAS,Massachusetts,21066.49,1176,0.884875847,1329,40,33,9,0.007,0.65,594.465326,89595.68,3168.21,6634977.21,314.95,2.299636364,2.754861,4.946395
MAU,Mauritius,2066.09,484,0.647058824,748,23.14,3,213,0.285,0.20,13.002394,9886.81,11796.07,1315125.31,636.53,1.498181818,0.270965,3.944969998
MCI,Mozambique Channel Is.,15.07,49,0.844827586,58,50.03,41.5,0,0,0.02,0,0.00,0.00,0.00,0.00,1.785090909,2.20872,5.557332007
MCS,Marcus I.,6.73,3,0.75,4,72.25,64,0,0,0.25,0,0.00,0.00,280.00,41.60,1.529545455,3.249755,3.488300625
MDG,Madagascar,596097.84,3049,0.347068867,8785,5.48,1,7272,0.828,0.59,10.587906,598.94,121.41,17677717.22,29.66,1.915727273,0.077867143,2.861615297
MDR,Madeira,827.43,558,0.853211009,654,33.3,27,105,0.161,0.60,6.042306,24844.73,1779.55,243202.70,293.92,1.505181818,1.386583,5.116852794
MDV,Maldives,141.60,118,0.874074074,135,43.99,38,0,0,0.02,0.03272,386.06,0.00,84752.87,598.55,NA,NA,4.479438
MIC,Michigan,250787.87,1310,0.898491084,1458,39.13,33,11,0.008,0.67,697.684074,61713.04,752.48,11305295.10,45.08,2.299636364,2.754861,4.946395
MIN,Minnesota,224918.15,1174,0.915042868,1283,40.97,35,3,0.002,0.61,435.416098,82001.64,340.01,5309846.03,23.61,2.299636364,2.754861,4.946395
MLI,Mali,1259174.51,866,0.594371997,1457,29.02,22,9,0.006,0.52,8.21761,665.28,47.33,12352118.70,9.81,2.233636364,0.396983333,3.311407054
MLW,Malawi,119236.65,2039,0.54900377,3714,16.37,10,141,0.038,0.27,5.86717,424.91,140.96,13808167.50,115.80,1.866181818,NA,4.640480807
MLY,Malaya,133033.39,3010,0.46116133,6527,8.99,4,1663,0.255,0.26,495.084128,21888.41,227.42,22618550.84,170.02,1.749918271,1.125984669,5.500295197
MNT,Montana,380824.44,1345,0.87111399,1544,27.49,15,15,0.01,0.67,55.470616,57663.97,69.40,961963.11,2.53,2.299636364,2.754861,4.946395
MOL,Maluku,60134.50,1095,0.445665446,2457,12.66,5,551,0.224,0.14,1.642014,939.01,96.44,1748674.34,29.08,1.835818182,0.161365,2.825423125
MON,Mongolia,1562336.30,1413,0.650253106,2173,19.09,10,140,0.064,0.28,3.105692,1203.77,34.38,2579961.41,1.65,1.953454545,0.228358,4.941115629
MOR,Morocco,404502.01,2353,0.698634204,3368,18.52,8,586,0.174,0.68,106.772332,3433.76,98.47,31094891.68,76.87,1.943545455,0.71454,5.214622528
MOZ,Mozambique,790763.63,2432,0.581818182,4180,15.75,8,222,0.053,0.54,15.635084,773.50,79.17,20213320.42,25.56,1.911545455,0.304323333,4.308418552
MPE,Marion-Prince Edward Is.,337.91,15,0.681818182,22,16.64,10,2,0.091,0.86,0,0.00,0.00,0.00,0.00,2.518,0.782624444,5.551352843
MRN,Marianas,1199.62,203,0.642405063,316,30.73,21,68,0.215,0.25,19.040296,83313.37,169.36,228538.31,190.51,2.299636364,2.754861,4.946395
MRQ,Marquesas,1093.31,121,0.482071713,251,14.36,1,131,0.522,0.57,0.266618,30230.81,0.00,8819.41,8.07,NA,NA,NA
MRS,Marshall Is.,130.11,49,0.830508475,59,56.36,48,0,0,0.02,0.147152,12725.60,0.00,11563.46,88.87,NA,NA,11.81629987
MRY,Maryland,25622.54,1263,0.873443983,1446,36.24,30,1,0.001,0.59,452.828992,77435.22,1964.68,5847842.65,228.23,2.299636364,2.754861,4.946395
MSI,Mississippi,124421.78,1317,0.854085603,1542,29.42,23,0,0,0.63,149.772198,50185.60,325.86,2984365.96,23.99,2.299636364,2.754861,4.946395
MSO,Missouri,180688.86,1296,0.855445545,1515,33.58,28,14,0.009,0.80,401.129038,70047.53,462.45,5726526.58,31.69,2.299636364,2.754861,4.946395
MTN,Mauritania,1043771.38,585,0.728518057,803,34.49,24,3,0.004,0.11,3.117566,1123.39,48.50,2775132.36,2.66,2.205545455,NA,2.874567685
MXC,Mexico Central,66625.31,3435,0.576148943,5962,11.96,6,235,0.039,0.72,483.555456,15622.50,1386.08,30952496.53,464.58,2.298363636,0.506494444,4.689602107
MXE,Mexico Northeast,874670.98,5060,0.549462482,9209,9.76,4,1754,0.19,0.76,406.157508,14864.24,335.03,27324477.95,31.24,2.298363636,0.506494444,4.689602107
MXG,Mexico Gulf,71544.13,3907,0.606018303,6447,13.86,8,238,0.037,0.67,54.557672,7164.79,633.43,7614689.83,106.43,2.298363636,0.506494444,4.689602107
MXI,Mexican Pacific Is.,547.69,124,0.642487047,193,20.61,5,45,0.233,0.73,0,0.00,0.00,158.57,0.29,2.298363636,0.506494444,4.689602107
MXN,Mexico Northwest,384213.53,3437,0.626732312,5484,11.05,5,797,0.145,0.71,113.010924,14804.62,282.31,7633490.60,19.87,2.298363636,0.506494444,4.689602107
MXS,Mexico Southwest,330886.06,5794,0.499525821,11599,9.11,4,2297,0.198,0.69,165.867962,8559.41,438.81,19378434.17,58.57,2.298363636,0.506494444,4.689602107
MXT,Mexico Southeast,237825.69,4336,0.572636027,7572,12.89,8,463,0.061,0.69,94.523554,9116.24,334.93,10368700.43,43.60,2.298363636,0.506494444,4.689602107
MYA,Myanmar,671444.31,3530,0.567797973,6217,11.55,7,709,0.114,0.16,43.002772,761.21,120.98,56492791.85,84.14,2.306545455,0.03082,1.476035
NAM,Namibia,808500.63,1623,0.530218883,3061,12.4,4,553,0.181,0.67,9.430742,5508.50,50.62,1712035.58,2.12,2.108272727,0.240805,NA
NAT,KwaZulu-Natal,93063.92,2373,0.586360267,4047,13.04,5,362,0.089,0.70,60.707174,6245.64,263.62,9719936.24,104.44,2.518,0.782624444,5.551352843
NBR,New Brunswick,72813.63,741,0.915945612,809,46.58,39,0,0,0.68,27.578866,38106.16,150.94,723737.73,9.94,1.625090909,1.757034,5.107454558
NCA,North Carolina,128470.97,1726,0.838678328,2058,28.65,23,20,0.01,0.71,639.402162,72690.15,840.91,8796269.20,68.47,2.299636364,2.754861,4.946395
NCB,Nicobar Is.,1877.83,689,0.671539961,1026,21.89,13,54,0.053,0.00,0.083786,1944.79,29.19,43082.22,22.94,2.557545455,0.797028,3.625841551
NCS,North Caucasus,253486.00,1462,0.669413919,2184,23.61,12,217,0.099,0.34,33.290282,2193.51,122.06,15176728.75,59.87,2.821090909,1.086097,3.690385385
NDA,North Dakota,182451.68,732,0.93129771,786,42.14,35,0,0,0.59,44.673012,66293.87,121.56,673863.43,3.69,2.299636364,2.754861,4.946395
NEB,Nebraska,200318.18,919,0.905418719,1015,38.6,33,2,0.002,0.68,131.384448,77431.90,145.47,1696774.11,8.47,2.299636364,2.754861,4.946395
NEP,Nepal,147746.73,2634,0.631957774,4168,14.85,7,298,0.071,0.40,15.291932,634.87,254.43,24086628.43,163.03,2.159272727,0.205276667,3.712335716
NET,Netherlands,35726.65,1052,0.693473962,1517,34.99,30,34,0.022,0.69,844.8516,50627.80,2216.05,16687503.89,467.09,1.652909091,1.886817,5.105386994
NEV,Nevada,287029.42,1425,0.767366721,1857,17.83,7,83,0.045,0.69,206.059812,90152.35,106.93,2285684.26,7.96,2.299636364,2.754861,4.946395
NFK,Norfolk Is.,63.42,206,0.712802768,289,19.45,4,110,0.381,0.69,0.065118,20734.28,0.00,3140.60,49.52,1.495181818,2.226646,5.053002152
NFL,Newfoundland,112039.19,647,0.90237099,717,43.51,36,6,0.008,0.62,30.103664,57192.13,72.38,526360.28,4.70,1.625090909,1.757034,5.107454558
NGA,Nigeria,914383.09,2046,0.542130366,3774,19.25,13,61,0.016,0.26,154.141286,1133.42,102.77,135996950.63,148.73,2.593363636,NA,NA
NGR,Niger,1188526.70,600,0.721153846,832,35.07,26,3,0.004,0.25,5.37325,422.94,36.93,12704585.04,10.69,2.313818182,NA,3.915793893
NIC,Nicaragua,128901.60,3232,0.670678564,4819,16.41,11,69,0.014,0.72,10.195226,1752.01,241.63,5819163.53,45.14,1.903636364,0.097756,3.411860013
NLA,Netherlands Antilles,796.86,294,0.733167082,401,33.77,25,7,0.017,0.19,5.14574,29482.56,8463.67,174535.02,219.03,1.652909091,1.886817,5.00044116
NNS,Nansei-shoto,2116.77,1004,0.772307692,1300,22.31,10,135,0.104,0.33,57.166422,47251.51,358.54,1209832.68,571.55,1.529545455,3.249755,3.488300625
NOR,Norway,320493.25,1057,0.629916567,1678,32.26,25,124,0.074,0.67,387.363018,90200.80,202.49,4294452.25,13.40,1.773636364,1.760695,7.077410987
NRU,Nauru,29.11,36,0.837209302,43,52.47,48,0,0,0.12,0.065138,5003.86,0.00,13017.55,447.17,NA,NA,11.53605
NSC,Nova Scotia,55338.82,722,0.912768647,791,46.07,38,2,0.003,0.73,34.236626,34878.05,169.10,981609.44,17.74,1.625090909,1.757034,5.107454558
NSW,New South Wales,807205.93,2487,0.608217168,4089,6.27,2,904,0.221,0.83,363.154752,45245.14,151.04,8026381.93,9.94,1.495181818,2.226646,5.053002152
NTA,Northern Territory,1355700.77,1372,0.497461929,2758,9.48,3,483,0.175,0.85,14.932856,68329.99,42.32,218540.31,0.16,1.495181818,2.226646,5.053002152
NUE,Niue,254.08,104,0.626506024,166,26.3,14.5,1,0.006,0.21,0.03562,23736.72,382.34,1500.63,5.91,1.392090909,1.21692,6.417572093
NUN,Nunavut,1193666.29,410,0.917225951,447,39.01,30,2,0.004,0.60,1.04925,87603.17,0.00,11977.31,0.01,1.625090909,1.757034,5.107454558
NWC,New Caledonia,19326.25,1100,0.410294666,2681,6.05,1,2075,0.774,0.64,6.590224,30678.11,129.24,214818.43,11.12,NA,NA,NA
NWG,New Guinea,821815.78,2290,0.216200906,10592,4.96,1,7401,0.699,0.47,20.777574,2740.83,56.66,7580762.73,9.22,1.891584855,0.108027028,NA
NWH,New Hampshire,24210.79,1004,0.903690369,1111,43.29,36,1,0.001,0.57,101.149608,76849.29,604.55,1316207.39,54.36,2.299636364,2.754861,4.946395
NWJ,New Jersey,19858.51,1238,0.868162693,1426,37.67,31,5,0.004,0.55,789.560328,76658.85,4463.20,10299662.91,518.65,2.299636364,2.754861,4.946395
NWM,New Mexico,315887.40,2047,0.744905386,2748,18.37,8,103,0.037,0.77,127.781284,63819.44,117.32,2002231.42,6.34,2.299636364,2.754861,4.946395
NWT,Northwest Territories,1083190.28,670,0.916552668,731,37.6,28,2,0.003,0.46,0.56025,50647.76,0.00,11061.69,0.01,1.625090909,1.757034,5.107454558
NWY,New York,137097.58,1454,0.873273273,1665,37.52,31,9,0.005,0.60,1768.249894,94796.81,884.85,18653053.07,136.06,2.299636364,2.754861,4.946395
NZN,New Zealand North,114795.73,680,0.71654373,949,7.14,2,191,0.201,0.76,96.001906,31913.50,511.55,3008190.93,26.20,1.392090909,1.21692,6.417572093
NZS,New Zealand South,152951.46,789,0.661357921,1193,5.56,2,454,0.381,0.82,26.658396,26779.34,276.64,995483.86,6.51,1.392090909,1.21692,6.417572093
OFS,Free State,130465.37,1196,0.574723691,2081,13.04,5,21,0.01,0.72,19.93483,6671.64,330.33,2987997.03,22.90,2.518,0.782624444,5.551352843
OGA,Ogasawara-shoto,76.84,232,0.805555556,288,28.64,9,75,0.26,0.28,0.057276,17919.56,163.29,3196.28,41.60,1.529545455,3.249755,3.488300625
OHI,Ohio,116536.15,1293,0.886831276,1458,38.13,32,5,0.003,0.59,819.226936,56646.03,1122.72,14462213.68,124.10,2.299636364,2.754861,4.946395
OKL,Oklahoma,181539.51,1330,0.826086957,1610,28.5,23,7,0.004,0.59,225.61238,60056.37,284.84,3756677.14,20.69,2.299636364,2.754861,4.946395
OMA,Oman,310487.67,700,0.709219858,987,25.54,16,74,0.075,0.52,70.925436,25979.23,78.41,2730082.60,8.79,1.901,0.207607143,4.108156431
ONT,Ontario,1074870.94,1428,0.889719626,1605,37.81,32,12,0.007,0.74,616.910208,35529.53,91.57,17363306.77,16.15,1.625090909,1.757034,5.107454558
ORE,Oregon,251403.44,1743,0.806944444,2160,18.6,7,93,0.043,0.85,267.040986,72132.75,177.86,3702077.08,14.73,2.299636364,2.754861,4.946395
PAK,Pakistan,797888.44,1839,0.626575809,2935,19.99,9,246,0.084,0.42,222.481258,1422.23,115.08,156430823.50,196.06,2.928,0.31042,2.513352223
PAL,Palestine,116539.13,1340,0.724716063,1849,21.78,12,116,0.063,0.72,346.33184,21368.73,477.17,16207412.84,139.07,2.144934117,1.210840807,5.391037857
PAN,Panama,75012.22,4257,0.522651934,8145,10.48,5,1195,0.147,0.66,41.978574,13179.40,145.85,3185164.68,42.46,1.925090909,0.12962,3.997453008
PAR,Paraguay,400663.66,2288,0.525614519,4353,11.49,6,382,0.088,0.75,18.585654,3356.95,114.30,5536474.57,13.82,2.214363636,0.097493333,3.53908331
PEI,Prince Edward I.,5993.01,460,0.927419355,496,52.44,42,1,0.002,0.69,4.633774,34077.98,796.80,135975.61,22.69,1.625090909,1.757034,5.107454558
PEN,Pennsylvania,119435.07,1383,0.878095238,1575,37.38,31,2,0.001,0.55,906.808196,73616.34,998.67,12318028.95,103.14,2.299636364,2.754861,4.946395
PER,Peru,1299039.69,6184,0.372664819,16594,6.24,2,5834,0.352,0.64,177.387914,6754.67,160.07,26261539.11,20.22,2.235454545,0.097934286,3.14754618
PHI,Philippines,296517.72,2439,0.340072504,7172,8.21,1,3924,0.547,0.25,223.538842,2490.08,348.80,89771669.11,302.75,2.346090909,0.12305,2.961532307
PHX,Phoenix Is.,91.29,19,0.76,25,51.68,41,0,0,0.04,0.00014,925.03,0.00,151.35,1.66,NA,NA,11.34833328
PIT,Pitcairn Is.,53.88,38,0.542857143,70,24.27,11,14,0.2,0.51,0,0.00,0.00,58.18,1.08,1.942727273,1.661602,4.946111045
POL,Poland,311185.94,1606,0.676210526,2375,29.74,23,43,0.018,0.53,499.854566,12999.75,729.17,38451101.20,123.56,1.678454545,0.84255,5.08815248
POR,Portugal,88706.58,1728,0.79266055,2180,26.36,19,96,0.044,0.77,218.869498,21979.08,714.12,9958083.17,112.26,1.505181818,1.386583,5.116852794
PRM,Primorye,164933.85,1067,0.76323319,1398,23.81,11,79,0.057,0.13,8.426714,4011.25,62.26,2100771.40,12.74,2.821090909,1.086097,3.690385385
PUE,Puerto Rico,9296.63,1347,0.695405266,1937,23.05,18,213,0.11,0.55,160.895072,40293.76,3157.73,3993051.72,429.52,NA,0.439896667,6.27687
QLD,Queensland,1737270.16,3352,0.566694844,5915,7.2,2,1946,0.329,0.81,203.926418,45442.97,88.90,4487523.94,2.58,1.495181818,2.226646,5.053002152
QUE,Qu?Â®bec,1510496.23,1248,0.862474084,1447,37.88,33,38,0.026,0.75,314.835718,44932.89,25.69,7006799.23,4.64,1.625090909,1.757034,5.107454558
REU,R?Â®union,2658.23,467,0.612057667,763,20.82,3,225,0.295,0.30,20.398828,24557.34,239.06,830661.02,312.49,1.785090909,2.20872,5.557332007
RHO,Rhode I.,2729.33,861,0.910147992,946,44.32,36,0,0,0.64,74.548862,83725.19,3937.86,890399.43,326.23,2.299636364,2.754861,4.946395
ROD,Rodrigues,117.09,103,0.741007194,139,42.29,28,26,0.187,0.06,0.308808,7648.57,0.00,40374.61,344.81,1.498181818,0.270965,3.944969998
ROM,Romania,237333.21,2114,0.733263961,2883,27.8,21,165,0.057,0.41,114.59822,5473.48,271.63,20937001.73,88.22,1.740272727,0.467788,3.450567498
RUC,Central European Russia,850934.65,1259,0.75524895,1667,36.57,31,33,0.02,0.58,300.874352,6266.68,126.76,48011737.06,56.42,2.821090909,1.086097,3.690385385
RUE,East European Russia,733970.71,1116,0.724205062,1541,34.56,29,89,0.058,0.17,93.422018,4602.78,95.79,20296888.77,27.65,2.821090909,1.086097,3.690385385
RUN,North European Russia,1457904.48,1033,0.667744021,1547,32.86,26,165,0.107,0.34,33.754972,6577.96,41.26,5131524.43,3.52,2.821090909,1.086097,3.690385385
RUS,South European Russia,436620.76,1380,0.778341794,1773,32.77,26,21,0.012,0.29,32.239044,2760.75,107.96,11677636.98,26.75,2.821090909,1.086097,3.690385385
RUW,Northwest European Russia,194594.06,991,0.764660494,1296,41.07,36,10,0.008,0.32,43.632228,5146.66,137.68,8477780.85,43.57,2.821090909,1.086097,3.690385385
RWA,Rwanda,25312.33,1203,0.600599101,2003,21.21,14,45,0.022,0.25,6.653368,714.53,1115.42,9311579.98,367.87,2.197181818,NA,4.239418556
SAK,Sakhalin,75359.49,731,0.775185578,943,27.83,13,60,0.064,0.35,5.265094,10685.75,88.17,492721.01,6.54,2.821090909,1.086097,3.690385385
SAM,Samoa,3191.24,341,0.453457447,752,15.7,5,225,0.299,0.26,5.149588,20049.72,125.81,256840.91,80.48,NA,NA,4.138493516
SAR,Sardegna,8788.86,1339,0.808574879,1656,29.28,23,101,0.061,0.62,10.034242,35064.39,500.45,286166.16,32.56,1.727454545,1.281893,4.319475981
SAS,Saskatchewan,650601.16,838,0.914847162,916,40.5,32,3,0.003,0.64,66.656586,72022.56,52.41,925495.96,1.42,1.625090909,1.757034,5.107454558
SAU,Saudi Arabia,1963415.91,1189,0.733497841,1621,24.29,15,79,0.049,0.27,529.89796,22537.11,44.12,23512241.43,11.98,2.171818182,0.599373333,6.315204156
SCA,South Carolina,80735.37,1564,0.845862628,1849,27.58,21,5,0.003,0.65,256.585434,54496.88,888.11,4708258.78,58.32,2.299636364,2.754861,4.946395
SCI,Society Is.,1537.71,234,0.5,468,17.02,2.5,200,0.427,0.46,4.140416,20845.14,90.38,198627.44,129.17,NA,NA,NA
SCS,South China Sea,22.93,71,0.898734177,79,59.28,46,2,0.025,0.01,0,0.00,0.00,498.24,21.72,2.284727273,1.880259,1.861919959
SCZ,Santa Cruz Is.,857.14,96,0.507936508,189,14.38,6,11,0.058,0.12,0.016804,1273.22,0.00,13198.08,15.40,NA,NA,7.952507983
SDA,South Dakota,198731.21,912,0.913827655,998,39.14,32,2,0.002,0.66,57.236482,74161.67,99.37,771779.80,3.88,2.299636364,2.754861,4.946395
SEL,Selvagens,1.87,61,0.871428571,70,32.09,25.5,3,0.043,0.03,0,0.00,0.00,0.00,0.00,1.505181818,1.386583,5.116852794
SEN,Senegal,197219.67,994,0.593787336,1674,29.78,22,18,0.011,0.42,12.740624,1137.36,388.53,11201901.27,56.80,1.912,0.55377,4.046352111
SEY,Seychelles,330.72,251,0.738235294,340,34.86,23.5,71,0.209,0.14,1.19056,9562.27,394.71,124506.06,376.47,NA,0.22162,4.791015496
SGE,South Georgia,3606.81,14,0.736842105,19,17.37,11,0,0,1.00,0,0.00,0.00,0.00,0.00,1.931363636,0.574948889,4.708739512
SIC,Sicilia,26093.60,1623,0.799507389,2030,27.87,21,166,0.082,0.57,120.045868,22094.26,838.08,5433351.57,208.23,1.727454545,1.281893,4.319475981
SIE,Sierra Leone,72964.46,1132,0.541626794,2090,21.82,15,34,0.016,0.16,3.148052,640.02,476.65,4918683.60,67.41,1.949363636,NA,3.10688875
SIN,Sinai,56884.72,816,0.762616822,1070,24.12,16,23,0.021,0.29,22.945502,40047.37,88.66,572959.02,10.07,2.281,0.548579,4.361367118
SOA,South Australia,986663.44,1239,0.577084304,2147,6.46,4,334,0.156,0.84,66.874062,38750.10,85.41,1725777.88,1.75,1.495181818,2.226646,5.053002152
SOC,Socotra,3928.10,387,0.623188406,621,24.11,8,238,0.383,0.42,0.05927,1278.82,68.68,46347.42,11.80,2.609818182,NA,8.011536667
SOL,Solomon Is.,37113.45,818,0.435106383,1880,10.98,3,420,0.223,0.30,0.944614,1425.64,59.27,662587.21,17.85,NA,NA,7.952507983
SOM,Somalia,640496.11,1327,0.521005104,2547,14.47,5,594,0.233,0.29,5.67216,752.57,256.70,7537078.19,11.77,3.405727273,NA,NA
SPA,Spain,494562.16,3429,0.646127756,5307,16.95,6,1250,0.236,0.75,1322.745188,32964.20,524.35,40126720.54,81.14,1.838909091,1.27476,4.343238733
SRL,Sri Lanka,66719.85,1407,0.522853958,2691,16.27,6,709,0.263,0.33,52.088362,2605.81,1502.91,19989309.29,299.60,2.298272727,0.112144,2.321158183
SSA,South Sandwich Is.,278.28,2,1,2,30.5,30.5,0,0,1.00,0,0.00,0.00,0.00,0.00,1.931363636,0.574948889,4.708739512
STH,St.Helena,133.79,40,0.597014925,67,21.66,1,37,0.552,0.16,0.154918,34306.92,195.58,4515.65,33.75,1.942727273,1.661602,4.946111045
SUD,Sudan,2501662.58,1975,0.630788885,3131,23.42,17,55,0.018,0.11,50.302168,1406.81,53.80,35756203.12,14.29,2.894216008,NA,1.59152126
SUL,Sulawesi,187249.20,1481,0.419071873,3534,11.59,4,1133,0.321,0.20,27.662814,1741.49,170.38,15884573.47,84.83,1.835818182,0.161365,2.825423125
SUM,Sumatera,474100.64,2289,0.413027788,5542,8.92,3,1593,0.287,0.18,138.163118,2951.99,338.97,46803427.26,98.72,1.835818182,0.161365,2.825423125
SUR,Surinam,145984.68,2258,0.612920738,3684,14.82,9,112,0.03,0.71,2.971892,5629.56,13.66,527908.84,3.62,NA,NA,NA
SVA,Svalbard,62651.70,127,0.819354839,155,34.29,26,8,0.052,0.76,0.078892,15794.73,0.00,4994.83,0.08,1.773636364,1.760695,7.077410987
SWC,Southwest Caribbean,358.90,189,0.9,210,35.33,29,1,0.005,0.53,0.61633,4092.97,676.46,150582.62,419.57,2.314027802,0.062506609,5.551702335
SWE,Sweden,444709.16,1220,0.40105194,3042,20.65,7,1018,0.335,0.57,517.707238,63638.63,269.51,8135109.65,18.29,1.424454545,3.297588,6.944467009
SWI,Switzerland,41490.35,1783,0.665050354,2681,26.83,19,135,0.05,0.58,584.87348,75660.98,1200.89,7730186.46,186.31,1.385818182,3.09175,5.04356351
SWZ,Swaziland,17190.91,1346,0.651815981,2065,16.98,8,32,0.015,0.63,3.459784,3362.03,160.09,1029076.37,59.86,2.335909091,0.27013,5.876735711
TAI,Taiwan,36327.24,2226,0.70154428,3173,15.75,7,683,0.215,0.67,927.950576,39446.70,2196.47,23524160.36,647.56,1.854181818,1.880259,1.861919959
TAN,Tanzania,947554.82,3785,0.481613437,7859,12.39,6,1323,0.168,0.58,33.31435,696.92,47.16,47802508.05,50.45,1.904909091,0.454745,3.399218184
TAS,Tasmania,68551.30,787,0.615324472,1279,6.63,4,342,0.267,0.76,18.807862,35813.24,134.90,525164.98,7.66,1.495181818,2.226646,5.053002152
TCI,Turks-Caicos Is.,422.18,239,0.753943218,317,30.7,20,7,0.022,0.14,1.422458,104638.27,267.85,13594.05,32.20,NA,NA,3.983884446
TCS,Transcaucasus,185708.27,2269,0.613574905,3698,18.04,5,671,0.181,0.52,64.587526,4026.13,188.88,16042091.19,86.38,2.450175668,0.224736645,2.816238851
TDC,Tristan da Cunha,171.19,39,0.475609756,82,12.41,2,40,0.488,0.60,0,0.00,16.80,244.69,1.43,1.942727273,1.661602,4.946111045
TEN,Tennessee,109167.89,1718,0.861152882,1995,28.04,23,17,0.009,0.57,425.685394,71147.09,612.00,5983173.39,54.81,2.299636364,2.754861,4.946395
TEX,Texas,687036.54,2486,0.726900585,3420,18.84,10,239,0.07,0.73,1821.863136,77628.68,395.73,23468944.01,34.16,2.299636364,2.754861,4.946395
THA,Thailand,515785.04,4203,0.538087313,7811,9.9,5,1358,0.174,0.31,351.61667,5532.73,515.59,63552154.07,123.21,2.410272727,0.445442857,4.17584445
TKM,Turkmenistan,472367.83,1043,0.615702479,1694,18.08,7,180,0.106,0.14,8.341884,1181.62,471.49,7059699.03,14.95,2.146363636,NA,3.04925
TOG,Togo,57495.13,938,0.604771115,1551,27.82,20,16,0.01,0.58,3.25368,646.55,136.46,5032390.55,87.53,1.954181818,0.249596667,3.993928492
TOK,Tokelau-Manihiki,65.17,38,0.775510204,49,53.8,41,1,0.02,0.12,0.006566,2281.26,0.00,2878.24,44.16,1.433977622,1.287901892,6.349671612
TON,Tonga,780.30,263,0.618823529,425,25.42,10,27,0.064,0.22,0.369485,5563.01,907.89,66418.12,85.12,NA,NA,4.626517113
TRT,Trinidad-Tobago,5061.10,1444,0.692898273,2084,22.08,16,90,0.043,0.30,26.817292,21903.04,134.52,1224364.13,241.92,2.078090909,0.060084444,3.03369626
TUA,Tuamotu,290.48,56,0.708860759,79,32.92,17,12,0.152,0.28,0.028906,7136.85,21.96,4050.25,13.94,NA,NA,NA
TUB,Tubuai Is.,99.32,113,0.525581395,215,20.77,8,73,0.34,0.15,0.124288,24337.49,194.82,5106.85,51.42,NA,NA,NA
